ENCUESTA NACIONAL DE HOGARES
AÑO = 2024
TRIMESTRE = 4
MÓDULO: GOBERNABILIDAD, DEMOCRACIA Y TRANSPARENCIA
FUENTE: INSTITUTO NACIONAL DE ESTADÍSTICA E INFORMÁTICA
AÑO MES CONGLOME VIVIENDA HOGAR CODPERSO UBIGEO DOMINIO P1.01
2024 10 15883 138 11 1 51106 5 2
2024 10 15883 139 11 1 51106 5 5
2024 10 15883 140 11 1 51106 5 5
2024 10 15883 143 11 1 51106 5 5
2024 10 15883 144 11 1 51106 5 2
2024 10 15883 145 11 1 51106 5 1
2024 10 15887 18 11 1 51004 5 5
2024 10 15887 27 11 2 51004 5 5
2024 10 15887 36 11 1 51004 5 4
2024 10 15887 47 11 2 51004 5 5
2024 10 15887 55 11 2 51004 5 1
2024 10 15887 94 11 1 51004 5 2
2024 10 15887 105 11 1 51004 5 2
2024 10 15887 113 11 2 51004 5 5
2024 10 15902 25 11 1 50114 5 1
2024 10 15902 143 11 2 50114 5 5
2024 10 15902 144 11 1 50114 5 5
2024 10 15902 146 11 2 50114 5 2
2024 10 15902 147 11 1 50114 5 1
2024 10 15902 148 11 1 50114 5 5
2024 10 15902 149 11 1 50114 5 5
2024 10 15902 152 11 1 50114 5 5
2024 10 15912 13 11 1 50205 5 2
2024 10 15912 21 11 1 50205 5 1
2024 10 15912 28 11 1 50205 5 1
2024 10 15912 36 11 1 50205 5 3
2024 10 15912 43 11 2 50205 5 1
2024 10 15912 65 11 1 50205 5 2
2024 10 15915 9 11 1 50202 5 2
2024 10 15915 10 11 2 50202 5 2
2024 10 15915 11 11 1 50202 5 2
2024 10 15915 12 11 1 50202 5 5
2024 10 15915 69 11 2 50202 5 5
2024 10 15915 70 11 1 50202 5 1
2024 10 15915 71 11 2 50202 5 5
2024 10 15915 72 11 1 50202 5 5
2024 10 15917 17 11 1 50103 5 5
2024 10 15917 20 11 1 50103 5 1
2024 10 15917 50 11 2 50103 5 5
2024 10 15917 51 11 1 50103 5 5
2024 10 15917 53 11 2 50103 5 5
2024 10 15917 54 11 1 50103 5 5
2024 10 15917 55 11 5 50103 5 1
2024 10 15917 62 11 1 50103 5 1
2024 10 15953 15 11 2 60101 4 2
2024 10 15953 33 11 4 60101 4 1
2024 10 15953 47 11 1 60101 4 1
2024 10 15953 65 11 1 60101 4 3
2024 10 15953 83 11 3 60101 4 1
2024 10 15953 117 11 4 60101 4 5
2024 10 15973 50 11 1 60101 4 1
2024 10 15973 76 11 3 60101 4 3
2024 10 15973 100 11 3 60101 4 1
2024 10 15979 13 11 1 60101 4 1
2024 10 15979 32 11 1 60101 4 2
2024 10 15979 69 11 2 60101 4 1
2024 10 15979 88 11 1 60101 4 1
2024 10 15979 106 11 5 60101 4 2
2024 10 15979 125 11 1 60101 4 2
2024 10 15997 74 11 3 60601 4 2
2024 10 15997 100 11 1 60601 4 3
2024 10 15997 126 11 1 60601 4 2
2024 10 15997 153 11 1 60601 4 2
2024 10 15997 179 11 2 60601 4 2
2024 10 15997 230 11 1 60601 4 1
2024 10 16001 9 11 1 60701 4 2
2024 10 16001 26 11 3 60701 4 2
2024 10 16001 61 11 1 60701 4 3
2024 10 16001 78 11 1 60701 4 5
2024 10 16001 112 11 1 60701 4 3
2024 10 16001 131 11 2 60701 4 2
2024 10 16010 14 11 1 61001 4 3
2024 10 16010 42 11 1 61001 4 1
2024 10 16010 57 11 1 61001 4 5
2024 10 16010 71 11 2 61001 4 1
2024 10 16010 86 11 1 61001 4 3
2024 10 16010 100 11 4 61001 4 3
2024 10 16023 10 11 3 60904 7 2
2024 10 16023 32 11 1 60904 7 3
2024 10 16023 77 11 1 60904 7 1
2024 10 16023 99 11 2 60904 7 1
2024 10 16023 121 11 1 60904 7 2
2024 10 16023 143 11 1 60904 7 1
2024 10 16056 13 11 1 60308 4 1
2024 10 16056 14 11 2 60308 4 1
2024 10 16056 15 11 1 60308 4 3
2024 10 16056 90 11 2 60308 4 2
2024 10 16056 91 11 2 60308 4 5
2024 10 16056 94 11 2 60308 4 1
2024 10 16056 95 11 2 60308 4 5
2024 10 16056 97 11 1 60308 4 2
2024 10 16080 69 11 2 60108 4 1
2024 10 16080 70 11 1 60108 4 2
2024 10 16080 71 11 1 60108 4 1
2024 10 16080 72 11 2 60108 4 1
2024 10 16080 158 11 2 60108 4 5
2024 10 16080 159 11 4 60108 4 1
2024 10 16080 162 11 3 60108 4 1
2024 10 16093 21 11 2 60105 4 1
2024 10 16093 22 11 2 60105 4 4
2024 10 16093 23 11 2 60105 4 5
2024 10 16093 372 11 2 60105 4 1
2024 10 16093 373 11 2 60105 4 1
2024 10 16093 374 11 1 60105 4 1
2024 10 16093 375 11 1 60105 4 1
2024 10 16093 376 11 1 60105 4 2
2024 10 16097 5 11 1 60203 4 5
2024 10 16097 25 11 2 60203 4 5
2024 10 16097 44 11 2 60203 4 2
2024 10 16097 54 11 1 60203 4 2
2024 10 16097 167 11 1 60203 4 1
2024 10 16110 65 11 5 61001 4 1
2024 10 16110 66 11 1 61001 4 2
2024 10 16110 67 11 2 61001 4 1
2024 10 16110 68 11 1 61001 4 1
2024 10 16110 204 11 1 61001 4 2
2024 10 16110 205 11 1 61001 4 2
2024 10 16110 206 11 1 61001 4 5
2024 10 16110 208 11 1 61001 4 2
2024 10 16118 10 11 1 60102 4 2
2024 10 16118 11 11 2 60102 4 5
2024 10 16118 12 11 2 60102 4 5
2024 10 16118 48 11 1 60102 4 1
2024 10 16118 49 11 1 60102 4 1
2024 10 16118 50 11 1 60102 4 2
2024 10 16118 52 11 2 60102 4 5
2024 10 16134 21 11 2 60303 7 1
2024 10 16134 23 11 2 60303 7 5
2024 10 16134 24 11 1 60303 7 1
2024 10 16134 94 11 2 60303 7 1
2024 10 16134 97 11 1 60303 7 4
2024 10 16134 98 11 2 60303 7 1
2024 10 16134 99 11 4 60303 7 5
2024 10 16134 100 11 2 60303 7 1
2024 10 16146 17 11 2 60812 7 5
2024 10 16146 20 11 2 60812 7 5
2024 10 16146 78 11 2 60812 7 1
2024 10 16146 79 11 1 60812 7 2
2024 10 16146 80 11 1 60812 7 1
2024 10 16146 81 11 1 60812 7 1
2024 10 16146 82 11 3 60812 7 2
2024 10 16146 83 11 1 60812 7 1
2024 10 16148 73 11 1 60907 7 1
2024 10 16148 74 11 1 60907 7 3
2024 10 16148 76 11 2 60907 7 1
2024 10 16148 217 11 1 60907 7 3
2024 10 16148 219 11 1 60907 7 1
2024 10 16148 220 11 2 60907 7 4
2024 10 16148 222 11 1 60907 7 2
2024 10 16148 223 11 4 60907 7 2
2024 10 16161 33 11 2 60606 7 5
2024 10 16161 34 11 2 60606 7 5
2024 10 16161 35 11 1 60606 7 9
2024 10 16161 36 11 1 60606 7 1
2024 10 16161 102 11 1 60606 7 3
2024 10 16161 103 11 1 60606 7 2
2024 10 16161 104 11 1 60606 7 1
2024 10 16161 105 11 1 60606 7 1
2024 10 16169 15 11 1 70101 8 9
2024 10 16169 34 11 1 70101 8 9
2024 10 16169 52 11 1 70101 8 9
2024 10 16169 71 11 1 70101 8 2
2024 10 16169 112 11 1 70101 8 9
2024 10 16169 167 11 1 70101 8 9
2024 10 16169 185 11 1 70101 8 9
2024 10 16189 57 11 1 70106 8 9
2024 10 16189 100 11 3 70106 8 9
2024 10 16189 142 11 5 70106 8 2
2024 10 16189 161 13 1 70106 8 1
2024 10 16189 161 23 1 70106 8 9
2024 10 16189 161 33 2 70106 8 2
2024 10 16189 178 11 1 70106 8 9
2024 10 16199 6 11 3 70107 8 2
2024 10 16199 25 11 1 70107 8 1
2024 10 16199 58 11 3 70107 8 9
2024 10 16199 96 11 1 70107 8 2
2024 10 16199 114 11 3 70107 8 9
2024 10 16216 7 11 2 70101 8 9
2024 10 16216 30 11 4 70101 8 3
2024 10 16216 96 11 2 70101 8 1
2024 10 16216 118 11 2 70101 8 9
2024 10 16216 141 11 1 70101 8 1
2024 10 16216 184 11 1 70101 8 9
2024 10 16216 207 11 1 70101 8 9
2024 10 16226 12 11 1 70101 8 1
